player_id,name,position,team,injury_status,fantasy_positions,adp,proj_points
6462,Ellis Richardson,TE,,,['TE'],,
11255,Nick Amoah,OL,,,['OL'],,
8842,Malkelm Morrison,CB,,,['DB'],,
7926,Carl Tucker,TE,,,['TE'],,
1875,C.J. Mosley,LB,,Questionable,['LB'],,
8478,Samuel Womack,CB,IND,,['DB'],,
995,Ron Parker,FS,,,['DB'],,
1408,Le'Veon Bell,RB,TB,,['RB'],,
8074,Matt Seybert,TE,,,['TE'],,
156,William Gay,CB,,,['DB'],,
7311,Javin White,LB,,,"['DB', 'LB']",,
2091,Bashaud Breeland,CB,ARI,,['DB'],,
13175,Kinkead Dent,QB,,,['QB'],,
11533,Brandon Aubrey,K,DAL,,['K'],,
2508,Amarlo Herrera,LB,,,['LB'],,
2199,Kasim Edebali,DE,,,"['DL', 'LB']",,
2881,Tyler Slavin,WR,,,['WR'],,
2064,DeMarcus Lawrence,DE,SEA,,['DL'],,
1284,Lance Dunbar,RB,,,['RB'],,
2801,DeAndrew White,WR,,Questionable,['WR'],,
4501,Devaroe Lawrence,DT,,,['DL'],,
5852,DeAndre Baker,CB,,,['DB'],,
1073,Taylor Thompson,TE,,,['TE'],,
3374,Kevon Seymour,CB,WAS,,['DB'],,
8012,Corey Straughter,CB,,,['DB'],,
7918,A.J. Rose,RB,,,['RB'],,
777,Erik Pears,T,,,['OL'],,
13229,Decarius Hawthorne,DL,LAR,,['DL'],,
5428,Ricky Jeune,WR,,,['WR'],,
1982,Aaron Colvin,CB,,,['DB'],,
12376,Marquis Wilson,DB,,,['DB'],,
7882,Christian Uphoff,DB,,,['DB'],,
8733,Jake Hummel,LB,BAL,,['LB'],,
13221,Brett Gabbert,QB,MIA,,['QB'],,
11522,Jerome Kapp,WR,,,['WR'],,
2474,Nick Boyle,TE,,,['TE'],,
8852,Ty Clary,OL,,,['OL'],,
8809,Aaron Shampklin,RB,,,['RB'],,
9487,Parker Washington,WR,JAX,,['WR'],,
6923,Geno Stone,DB,CIN,,['DB'],,
1907,Johnny Manziel,QB,,,['QB'],,
7325,Joe Gaziano,DE,,,['DL'],,
8716,Jarrid Williams,OL,,,['OL'],,
6648,Brock Ruble,OT,,,['OL'],,
3342,Jakeem Grant,WR,,,['WR'],,
1684,Jaron Brown,WR,,,['WR'],,
3268,Eric Murray,DB,JAX,,['DB'],,
4449,Nicholas Morrow,LB,,,['LB'],,
11072,Joshua Pryor,DL,,,['DL'],,
6918,Salvon Ahmed,RB,IND,Questionable,['RB'],,
6137,Tommy Sweeney,TE,,Out,['TE'],,
12784,Jason Ivey,OL,CLE,,['OL'],,
12602,Mykel Williams,DL,SF,Questionable,['DL'],,
11340,Brad Cecil,OL,,,['OL'],,
5668,Aaron Stinnie,G,NYG,,"['OG', 'OL']",,
13132,JJ Roberts,DB,TB,,['DB'],,
3561,Bryce Williams,TE,,,['TE'],,
832,Ryan Whalen,WR,,,['WR'],,
12586,Cameron Williams,OL,PHI,,['OL'],,
6751,Duplicate Player,,,,,,
3356,Kyle Murphy,OT,NO,,"['OL', 'OT']",,
6786,CeeDee Lamb,WR,DAL,,['WR'],,
5038,Michael Gallup,WR,WAS,,['WR'],,
10938,DJ Johnson,LB,CAR,Questionable,['LB'],,
4433,Xavier Coleman,CB,,,['DB'],,
11584,Bucky Irving,RB,TB,,['RB'],,
1195,Doug Martin,RB,,,['RB'],,
2023,De'Anthony Thomas,WR,,,['WR'],,
1461,Mike Catapano,LB,,,"['DL', 'LB']",,
7116,Kevin Dotson,OL,LAR,,['OL'],,
4907,Nick Sirianni,,,,,,
11649,Kendall Milton,RB,CIN,,['RB'],,
6783,Jerry Jeudy,WR,CLE,,['WR'],,
12887,Joshua Gray,OL,ATL,,['OL'],,
5592,Tejan Koroma,C,,,['OL'],,
2481,Max Valles,LB,,,"['DL', 'LB']",,
221,Brent Celek,TE,,,['TE'],,
387,Knowshon Moreno,RB,,,['RB'],,
8432,Player Invalid,TE,,,['TE'],,
7232,Rashad Smith,LB,,,['LB'],,
12213,Anthony Sao,CB,,,['DB'],,
11616,Jacob Cowing,WR,SF,Questionable,['WR'],,
5965,Miles Boykin,WR,CHI,,['WR'],,
2125,Andrew Peacock,WR,,,['WR'],,
11770,JD Bertrand,LB,ATL,,['LB'],,
13064,Dorian Singer,WR,JAX,,['WR'],,
4992,Dante Pettis,WR,NO,,['WR'],,
1590,Eric Reid,SS,,,['DB'],,
4804,Darrell Brown,OT,,,['OL'],,
4529,Ryan Lewis,CB,,,['DB'],,
12739,Tommy Akingbesote,DT,DAL,,['DL'],,
439,JJ Jansen,LS,CAR,,['LS'],,
6858,James Lynch,DT,TEN,,['DL'],,
1510,Jordan Mills,T,,,"['OL', 'OT']",,
12785,Dom Jones,DB,CLE,,['DB'],,
4925,Jordan Wade,G,OAK,,['OL'],,
3620,Bralon Addison,WR,,,['WR'],,
11155,Christian Sims,TE,,,['TE'],,
12814,Josh Kaltenberger,OL,LAC,,['OL'],,
1995,Telvin Smith,LB,,,['LB'],,
10926,Marte Mapu,DB,NE,,['DB'],,
9504,Kayshon Boutte,WR,NE,,['WR'],,
4828,Rashard Davis,WR,,,['WR'],,
1914,Dri Archer,RB,,,['RB'],,
11525,Daniel Whelan,P,,,['P'],,
1711,Darren Woodard,CB,,,['DB'],,
4396,Drew Morgan,WR,,,['WR'],,
12633,Wyatt Milum,OL,JAX,,['OL'],,
4038,John Ross,WR,,Questionable,['WR'],,
1148,Kyle Wilber,LB,,,['LB'],,
12507,Omarion Hampton,RB,LAC,,['RB'],,
914,Leonard Hankerson,WR,,,['WR'],,
1649,Jordan Kovacs,DB,,,['DB'],,
12758,Hayden Harris,DE,BUF,IR,['DL'],,
11439,Jaleel McLaughlin,RB,DEN,,['RB'],,
11282,Johnny King,WR,,,['WR'],,
3730,Tevin Jones,WR,,,['WR'],,
7153,Kyle Hinton,G,ATL,,['OL'],,
3414,Anthony Sarao,ILB,,,['LB'],,
186,DeMarcus Ware,DE,,,"['DL', 'LB']",,
11450,Tyler Beach,OL,,,['OL'],,
11109,Mark Evans,OL,,,['OL'],,
1150,Shea McClellin,LB,,,['LB'],,
1813,Randell Johnson,LB,,,['LB'],,
4788,Duplicate Player,CB,,,['DB'],,
8533,Josh Sokol,C,,,,,
2330,Shaq Thompson,LB,BUF,,['LB'],,
1609,Chris Pantale,TE,,,['TE'],,
5718,Ryan Yurachek,TE,,,['TE'],,
3916,David Watford,WR,,,['WR'],,
12964,Michael Tarquin,OT,CAR,,['OT'],,
12452,Ralph Holley,DT,CLE,,['DL'],,
6639,Terrell Bonds,CB,,,['DB'],,
5530,Evan Berry,WR,,,['WR'],,
11445,Taylor Grimes,WR,,,['WR'],,
174,Jay Ratliff,NT,,,['DL'],,
5619,Dalyn Dawkins,RB,,,['RB'],,
5122,Boston Scott,RB,,,['RB'],,
7823,Nate Hobbs,CB,GB,Questionable,['DB'],,
5396,Sergio Bailey II,WR,,NA,['WR'],,
7160,Ledarius Mack,LB,,Questionable,"['DL', 'LB']",,
2854,Kenneth Horsley,DT,,,['DL'],,
11629,Devontez Walker,WR,BAL,,['WR'],,
6623,Jomon Dotson,DB,,,['DB'],,
5031,Oren Burks,LB,CIN,,['LB'],,
13024,Jay Higgins,LB,BAL,,['LB'],,
680,Kory Lichtensteiger,C,,,['OL'],,
12446,Marvin Moody,LB,,,['LB'],,
526,Arthur Jones,DE,,,['DL'],,
12342,Travis Benham,P,,,['P'],,
7229,Dieter Eiselen,OL,,,['OL'],,
6478,Ryan Crozier,G,,,['OL'],,
3060,Kevin Coyle,,,,,,
2109,Ryan Groy,G,,Questionable,['OL'],,
5003,Shaquem Griffin,LB,,,['LB'],,
355,Brian Leonard,RB,,,['RB'],,
506,David Nelson,WR,,,['WR'],,
