Player,position,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Kene Nwangwu,RB,52.3,3,157,1,3,1,99,0,0
Taysom Hill,TE,42,1,42,0,1,1,42,0,0
Charlie Jones,WR,40,5,200,1,4,1,100,0,1
Mack Hollins,WR,38,1,38,0,1,0,38,0,0
Bryce Oliver,WR,37.7,3,113,0,3,1,54,0,0
Dameon Pierce,RB,37.7,9,339,0,8,4,80,0,0
Ashton Dulin,WR,37,4,148,0,4,2,55,0,0
Justice Hill,RB,36.6,5,183,0,5,1,59,0,0
Kaden Davis,WR,35.7,3,107,0,3,1,40,0,0
Hassan Haskins,RB,35,1,35,0,1,0,35,0,0
Ihmir Smith-Marsette,WR,34.6,11,381,1,11,2,100,0,0
Isaiah Williams,WR,33.8,5,169,0,5,1,43,0,0
KaVontae Turpin,WR,33.5,27,904,1,23,4,99,0,0
Ameer Abdullah,RB,32.9,9,296,0,9,1,68,0,0
Samaje Perine,RB,32.6,5,163,0,5,1,56,0,0
Tank Bigsby,RB,32.5,6,195,0,6,2,41,0,1
De'Von Achane,RB,32,1,32,0,1,0,32,0,0
Jacob Cowing,WR,32,1,32,0,1,0,32,0,0
Xavier Hutchinson,WR,32,1,32,0,1,0,32,0,0
Dante Pettis,WR,32,3,96,0,3,0,38,0,0
DeAndre Carter,WR,31.9,15,479,0,15,2,67,0,0
Austin Ekeler,RB,31.3,19,594,0,19,1,62,0,1
Keaton Mitchell,RB,31.2,5,156,0,5,1,47,0,0
Khalil Herbert,RB,31,4,124,0,4,0,35,0,0
Malik Washington,WR,30.7,14,430,0,13,2,67,0,0
DeeJay Dallas,RB,30.6,15,459,1,14,1,96,1,1
Luke McCaffrey,WR,29.9,10,299,0,9,1,47,0,0
Anthony Gould,WR,29.4,7,206,0,7,1,40,0,0
Bucky Irving,RB,29.3,6,176,0,6,1,46,0,0
Kendre Miller,RB,29.3,6,176,0,6,1,41,0,0
Dee Eskridge,WR,29.2,5,146,0,5,0,35,0,0
Jermaine Burton,WR,29.1,13,378,0,12,0,38,0,0
Travis Homer,RB,29,1,29,0,1,0,29,0,0
Jaylen Wright,RB,29,1,29,0,1,0,29,0,0
Will Shipley,RB,28.8,6,173,0,6,0,33,0,0
Robert Woods,WR,28.8,5,144,0,5,0,31,0,0
