Player,position,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Ja'Marr Chase,WR,127,1708,17,19,8,70,75,59.1,0,787,175
Amon-Ra St. Brown,WR,115,1263,12,14,1,66,71,61.7,1,412,141
Brock Bowers,TE,112,1194,5,15,1,57,61,54.5,0,596,153
Trey McBride,TE,111,1146,2,10,0,37,63,56.8,0,513,147
Malik Nabers,WR,109,1204,7,16,2,59,55,50.5,1,462,170
Justin Jefferson,WR,103,1533,10,28,4,97,62,60.2,1,487,154
CeeDee Lamb,WR,101,1194,6,16,4,65,54,53.5,1,537,152
Garrett Wilson,WR,101,1104,7,16,1,42,60,59.4,2,442,154
Drake London,WR,100,1271,9,12,0,39,67,67,0,327,158
Jaxon Smith-Njigba,WR,100,1130,6,14,2,46,55,55,1,477,137
DJ Moore,WR,98,966,6,11,1,44,43,43.9,1,588,140
Travis Kelce,TE,97,823,3,9,0,38,45,46.4,2,341,133
Wan'Dale Robinson,WR,93,699,3,4,0,35,36,38.7,0,361,140
Jerry Jeudy,WR,90,1229,4,13,3,89,57,63.3,0,387,145
Jonnu Smith,TE,88,884,8,4,1,57,55,62.5,2,510,111
Jakobi Meyers,WR,87,1027,4,16,1,43,52,59.8,0,293,129
Davante Adams,WR,85,1063,8,16,3,71,49,57.6,0,473,141
Ladd McConkey,WR,82,1149,7,15,4,60,52,63.4,2,390,112
Terry McLaurin,WR,82,1096,13,12,5,86,56,68.3,0,292,117
Tyreek Hill,WR,81,959,6,13,1,80,54,66.7,0,292,123
Courtland Sutton,WR,81,1081,8,17,1,47,57,70.4,1,179,135
Puka Nacua,WR,79,990,3,11,1,51,47,59.5,0,518,106
De'Von Achane,RB,78,592,6,3,0,39,30,38.5,1,665,87
George Kittle,TE,78,1106,8,21,2,43,50,64.1,0,522,94
Jauan Jennings,WR,77,975,6,12,1,45,47,61,1,212,113
Khalil Shakir,WR,76,821,4,9,2,52,35,46,1,597,100
Mike Evans,WR,74,1004,11,15,1,57,53,71.6,0,226,110
Zay Flowers,WR,74,1059,4,19,4,53,48,64.9,0,463,116
Tee Higgins,WR,73,911,10,12,1,42,48,65.8,1,228,109
Josh Downs,WR,72,803,5,10,1,69,40,55.6,0,393,107
Keenan Allen,WR,70,744,7,9,2,45,43,61.4,1,240,121
Michael Pittman,WR,69,808,3,12,0,33,35,50.7,1,259,111
Nico Collins,WR,68,1006,7,14,4,67,48,70.6,0,365,99
Alvin Kamara,RB,68,543,2,7,1,57,18,26.5,1,542,89
DeVonta Smith,WR,68,833,8,14,4,49,42,61.8,0,299,89
A.J. Brown,WR,67,1079,7,17,5,67,51,76.1,0,353,97
Cooper Kupp,WR,67,710,6,10,1,69,28,41.8,1,269,100
DeMario Douglas,WR,66,621,3,8,0,36,31,47,1,359,87
Zach Ertz,TE,66,654,7,7,0,37,38,57.6,1,187,91
Hunter Henry,TE,66,674,2,4,0,35,40,60.6,0,268,97
DK Metcalf,WR,66,992,5,20,2,71,35,53,2,263,108
Pat Freiermuth,TE,65,653,7,7,0,30,32,49.2,3,279,78
Mike Gesicki,TE,65,665,2,5,1,47,38,58.5,1,245,83
Darnell Mooney,WR,64,992,5,21,2,49,48,75,0,275,106
David Njoku,TE,64,505,5,4,0,29,23,35.9,0,251,97
Calvin Ridley,WR,64,1017,4,19,4,63,40,62.5,0,231,120
Jordan Addison,WR,63,875,9,13,6,69,39,61.9,0,213,99
Ray-Ray McCloud,WR,62,686,1,8,2,60,29,46.8,3,335,87
