name,position,team,projected_points,injury_status
Jalen Hurts,QB,PHI,22.0,Healthy
Josh Allen,QB,BUF,21.8,Healthy
Lamar Jackson,QB,BAL,21.6,Healthy
Jayden Daniels,QB,WAS,21.4,Healthy
Joe Burrow,QB,CIN,20.0,Healthy
Patrick Mahomes II,QB,KC,19.9,Healthy
Baker Mayfield,QB,TB,19.2,Healthy
Bo Nix,QB,DEN,18.8,Healthy
Kyler Murray,QB,ARI,18.5,Healthy
Trevor Lawrence,QB,JAC,17.9,Healthy
Brock Purdy,QB,SF,17.7,Healthy
Drake Maye,QB,NE,17.1,Healthy
J.J. McCarthy,QB,MIN,16.7,Healthy
Justin Herbert,QB,LAC,16.6,Healthy
Dak Prescott,QB,DAL,16.4,Healthy
Jordan Love,QB,GB,16.3,Healthy
C.J. Stroud,QB,HOU,16.2,Healthy
Jared Goff,QB,DET,16.2,Healthy
Caleb Williams,QB,CHI,16.1,Healthy
Kenny Pickett,QB,CLE,15.9,Healthy
Justin Fields,QB,NYJ,15.8,Healthy
Bryce Young,QB,CAR,15.5,Healthy
Tua Tagovailoa,QB,MIA,15.5,Healthy
Russell Wilson,QB,NYG,15.4,Healthy
Sam Darnold,QB,SEA,15.3,Healthy
Matthew Stafford,QB,LAR,15.3,Healthy
Michael Penix Jr.,QB,ATL,15.2,Healthy
Geno Smith,QB,LV,14.4,Healthy
Cameron Ward,QB,TEN,13.9,Healthy
Anthony Richardson Sr.,QB,IND,13.8,Healthy
Saquon Barkley,RB,PHI,19.3,Healthy
Christian McCaffrey,RB,SF,18.6,Healthy
Bijan Robinson,RB,ATL,18.5,Healthy
Jahmyr Gibbs,RB,DET,17.9,Healthy
De'Von Achane,RB,MIA,17.1,Healthy
Bucky Irving,RB,TB,16.3,Healthy
Jonathan Taylor,RB,IND,16.2,Healthy
Derrick Henry,RB,BAL,16.2,Healthy
Josh Jacobs,RB,GB,15.5,Healthy
Ashton Jeanty,RB,LV,15.5,Healthy
Chase Brown,RB,CIN,15.4,Healthy
Kyren Williams,RB,LAR,15.2,Healthy
Alvin Kamara,RB,NO,14.7,Healthy
James Cook,RB,BUF,14.2,Healthy
James Conner,RB,ARI,14.1,Healthy
Omarion Hampton,RB,LAC,14.0,Healthy
Chuba Hubbard,RB,CAR,13.8,Healthy
Kenneth Walker III,RB,SEA,13.7,Healthy
Breece Hall,RB,NYJ,12.7,Healthy
TreVeyon Henderson,RB,NE,12.2,Healthy
RJ Harvey,RB,DEN,11.8,Healthy
Aaron Jones Sr.,RB,MIN,11.5,Healthy
David Montgomery,RB,DET,11.5,Healthy
Isiah Pacheco,RB,KC,11.5,Healthy
D'Andre Swift,RB,CHI,11.4,Healthy
Tyrone Tracy Jr.,RB,NYG,11.0,Healthy
Jaylen Warren,RB,PIT,11.0,Healthy
J.K. Dobbins,RB,DEN,10.9,Healthy
Kaleb Johnson,RB,PIT,10.7,Healthy
Brian Robinson Jr.,RB,WAS,10.4,Healthy
Tony Pollard,RB,TEN,10.4,Healthy
Rhamondre Stevenson,RB,NE,10.3,Healthy
Travis Etienne Jr.,RB,JAC,10.0,Healthy
Jerome Ford,RB,CLE,9.0,Healthy
Joe Mixon,RB,HOU,8.9,Healthy
Javonte Williams,RB,DAL,8.8,Healthy
Austin Ekeler,RB,WAS,8.2,Healthy
Rachaad White,RB,TB,8.1,Healthy
Zach Charbonnet,RB,SEA,8.0,Healthy
Cam Skattebo,RB,NYG,7.8,Healthy
Trey Benson,RB,ARI,7.6,Healthy
Tyjae Spears,RB,TEN,7.5,Healthy
Tank Bigsby,RB,JAC,7.4,Healthy
